Taxon,Rank_in_flora,Leaves_plant_census,Leaves_Damage_Census,Percent_of_flora,Legume,Pinnate_Palmate,Secondary_veins,Tertiary_veins,Trichomes,Adaxial_Trichomes,Abaxial_Trichomes,Leaf_Mass_per_Area,Pos_Error_LMA,Neg_Error_LMA,LMA_measurements,Damage_Frequency,Error_Dam_Freq,Spec_Damage_Freq,Error_Spec_Dam_Freq,Mine_Freq,Error_Mine_Freq,Gall_Freq,Error_Gall_Freq,DTs_observed,Spec_DTs_observed,Total_DTs_20,Error_DT_div_20,Spec_DTs_20,Error_spec_DT_20,Mine_DTs_20,Error_mine_20,Gall DTs_20,"Error_gall,_20",DTOs,Specialized_DTOs,Perc_DTOs_specialized
10_um_stomata,22,8,6,0.33,Y,Pinnate,Eucampt,Reticulate,Y,Y,Y,NA,NA,NA,NA,16.67,15.21,0,NA,0,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
Big_Brochi,40,1,1,0.041,N,Pinnate,Brochi,Reticulate,Y,Unknown,Y,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
Big_Glands,34,2,1,0.082,N,Palmate,Brochi,Percurrent,U,Unknown,Unknown,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
Big_Toothed_Euphorb,9,40,22,1.648,N,Palmate,Crasp,Percurrent,Y,Y,Y,136,170,76,1,22.73,8.93,4.545,4.44,0,NA,4.55,4.44,5,1,4.809090909,0.499917349,0.952272727,0.213188602,0,NA,0.952272727,0.213188602,6,1,16.67
Clusiaceae,26,6,3,0.247,N,Pinnate,Brochi,Ramified,N,N,N,134,168,75,1,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
Compound_Agro-Cordate,30,4,4,0.165,N,Pinnate,Crasp,Percurrent,Y,Unknown,Y,NA,NA,NA,NA,25,21.65,0,NA,0,NA,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0
Concentric_Tertiaries,32,3,2,0.124,N,Palmate,Brochi,Percurrent,Y,Y,Y,89,112,49,1,100,NA,50,35.36,0,NA,0,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,50
Cunie_Obovate,34,2,2,0.082,N,Pinnate,Eucampt,Percurrent,Y,Unknown,Y,NA,NA,NA,NA,50,35.36,0,NA,0,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
Decurrent_Base,27,5,5,0.206,N,Pinnate,Eucampt,Reticulate,N,N,N,NA,NA,NA,NA,40,21.91,20,17.89,0,NA,0,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,50
Dense_Tertiary_Network,34,2,2,0.082,N,Pinnate,Eucampt,Percurrent,N,N,N,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
